study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501156	SRS2455844	SRX3121160	SRR5963249	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963249	N4_138_005G1
PRJNA396794	SAMN07501157	SRS2455846	SRX3121161	SRR5963250	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963250	N4_138_008G1
PRJNA396794	SAMN07501158	SRS2455847	SRX3121162	SRR5963251	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963251	N4_138_010G1
PRJNA396794	SAMN07501159	SRS2455845	SRX3121163	SRR5963252	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963252	N4_138_012G1
PRJNA396794	SAMN07501160	SRS2455848	SRX3121164	SRR5963253	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963253	N4_139_007G1
PRJNA396794	SAMN07501161	SRS2455849	SRX3121165	SRR5963254	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963254	N4_139_013G1
PRJNA396794	SAMN07501162	SRS2455850	SRX3121166	SRR5963255	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963255	N4_139_027G1
PRJNA396794	SAMN07501163	SRS2455851	SRX3121167	SRR5963256	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963256	N4_140_016G1
PRJNA396794	SAMN07501164	SRS2455852	SRX3121168	SRR5963257	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963257	N4_140_020G1
PRJNA396794	SAMN07501165	SRS2455853	SRX3121169	SRR5963258	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963258	N4_140_034G1
PRJNA396794	SAMN07501166	SRS2455855	SRX3121170	SRR5963259	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963259	N4_141_008G1
PRJNA396794	SAMN07501167	SRS2455854	SRX3121171	SRR5963260	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963260	N4_141_013G1
PRJNA396794	SAMN07501168	SRS2455856	SRX3121172	SRR5963261	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963261	N4_141_020G1
PRJNA396794	SAMN07501169	SRS2455857	SRX3121173	SRR5963262	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963262	N4_141_037G1
PRJNA396794	SAMN07501170	SRS2455858	SRX3121174	SRR5963263	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963263	N4_142_008G1
PRJNA396794	SAMN07501171	SRS2455859	SRX3121175	SRR5963264	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963264	N4_142_013G1
PRJNA396794	SAMN07501172	SRS2455860	SRX3121176	SRR5963265	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963265	N4_142_020G1
PRJNA396794	SAMN07501173	SRS2455861	SRX3121177	SRR5963266	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963266	N4_150_014G1
PRJNA396794	SAMN07501174	SRS2455862	SRX3121178	SRR5963267	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963267	N4_150_018G1
PRJNA396794	SAMN07501175	SRS2455864	SRX3121179	SRR5963268	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963268	N4_150_021G1
PRJNA396794	SAMN07501176	SRS2455863	SRX3121180	SRR5963269	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963269	N4_151_006G1
