study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501267	SRS2455955	SRX3121271	SRR5963360	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963360	N4_213_006G2
PRJNA396794	SAMN07501268	SRS2455956	SRX3121272	SRR5963361	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963361	N4_213_026G1
PRJNA396794	SAMN07501269	SRS2455957	SRX3121273	SRR5963362	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963362	N4_213_029G1
PRJNA396794	SAMN07501270	SRS2455958	SRX3121274	SRR5963363	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963363	N4_213_030G1
PRJNA396794	SAMN07501271	SRS2455959	SRX3121275	SRR5963364	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963364	N4_214_011G1
PRJNA396794	SAMN07501272	SRS2455960	SRX3121276	SRR5963365	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963365	N4_214_014G1
PRJNA396794	SAMN07501273	SRS2455961	SRX3121277	SRR5963366	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963366	N4_214_024G1
PRJNA396794	SAMN07501274	SRS2455962	SRX3121278	SRR5963367	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963367	N4_188_038G1
PRJNA396794	SAMN07501275	SRS2455963	SRX3121279	SRR5963368	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963368	N4_094_018G1
PRJNA396794	SAMN07501276	SRS2455965	SRX3121280	SRR5963369	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963369	N4_107_023G1
PRJNA396794	SAMN07501277	SRS2455964	SRX3121281	SRR5963370	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963370	N4_128_012G1
PRJNA396794	SAMN07501278	SRS2455967	SRX3121282	SRR5963371	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963371	N4_128_030G1
PRJNA396794	SAMN07501279	SRS2455968	SRX3121283	SRR5963372	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963372	N4_142_036G1
PRJNA396794	SAMN07501280	SRS2455966	SRX3121284	SRR5963373	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963373	N4_167_020G1
PRJNA396794	SAMN07501281	SRS2455969	SRX3121285	SRR5963374	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963374	N4_205_038G1
PRJNA396794	SAMN07501282	SRS2455970	SRX3121286	SRR5963375	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963375	N4_205_052G1
PRJNA396794	SAMN07501283	SRS2455971	SRX3121287	SRR5963376	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963376	N4_207_025G1
PRJNA396794	SAMN07501284	SRS2455972	SRX3121288	SRR5963377	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963377	N4_207_026G1
PRJNA396794	SAMN07501285	SRS2455973	SRX3121289	SRR5963378	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963378	N4_005_000G1
PRJNA396794	SAMN07501286	SRS2455974	SRX3121290	SRR5963379	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963379	N4_079_000G1
PRJNA396794	SAMN07501287	SRS2455975	SRX3121291	SRR5963380	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963380	N4_082_000G1
PRJNA396794	SAMN07501288	SRS2455976	SRX3121292	SRR5963381	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963381	N4_083_000G1
PRJNA396794	SAMN07501289	SRS2455977	SRX3121293	SRR5963382	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963382	N4_087_000G1
PRJNA396794	SAMN07501290	SRS2455978	SRX3121294	SRR5963383	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963383	N4_089_000G1
PRJNA396794	SAMN07501291	SRS2455979	SRX3121295	SRR5963384	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963384	N4_094_000G1
PRJNA396794	SAMN07501292	SRS2455980	SRX3121296	SRR5963385	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963385	N4_095_000G1
PRJNA396794	SAMN07501293	SRS2455981	SRX3121297	SRR5963386	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963386	N4_097_000G1
PRJNA396794	SAMN07501294	SRS2455982	SRX3121298	SRR5963387	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963387	N4_100_000G1
PRJNA396794	SAMN07501295	SRS2455983	SRX3121299	SRR5963388	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963388	N4_101_000G1
PRJNA396794	SAMN07501296	SRS2455984	SRX3121300	SRR5963389	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963389	N4_103_000G1
PRJNA396794	SAMN07501297	SRS2455985	SRX3121301	SRR5963390	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963390	N4_104_000G1
PRJNA396794	SAMN07501298	SRS2455986	SRX3121302	SRR5963391	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963391	N4_105_000G1
PRJNA396794	SAMN07501299	SRS2455987	SRX3121303	SRR5963392	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963392	N4_106_000G1
PRJNA396794	SAMN07501300	SRS2455988	SRX3121304	SRR5963393	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963393	N4_107_000G1
PRJNA396794	SAMN07501301	SRS2455989	SRX3121305	SRR5963394	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963394	N4_114_000G1
PRJNA396794	SAMN07501302	SRS2455991	SRX3121306	SRR5963395	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963395	N4_115_000G1
PRJNA396794	SAMN07501303	SRS2455990	SRX3121307	SRR5963396	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963396	N4_116_000G1
PRJNA396794	SAMN07501304	SRS2455992	SRX3121308	SRR5963397	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963397	N4_124_000G1
PRJNA396794	SAMN07501305	SRS2455993	SRX3121309	SRR5963398	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963398	N4_125_000G1
PRJNA396794	SAMN07501306	SRS2455994	SRX3121310	SRR5963399	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963399	N4_126_000G1
PRJNA396794	SAMN07501307	SRS2455996	SRX3121311	SRR5963400	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963400	N4_128_000G1
PRJNA396794	SAMN07501308	SRS2455995	SRX3121312	SRR5963401	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963401	N4_129_000G1
PRJNA396794	SAMN07501309	SRS2455997	SRX3121313	SRR5963402	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963402	N4_131_000G1
PRJNA396794	SAMN07501310	SRS2456000	SRX3121314	SRR5963403	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963403	N4_137_000G1
PRJNA396794	SAMN07501311	SRS2455999	SRX3121315	SRR5963404	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963404	N4_138_000G1
PRJNA396794	SAMN07501312	SRS2456001	SRX3121316	SRR5963405	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963405	N4_139_000G1
PRJNA396794	SAMN07501313	SRS2455998	SRX3121317	SRR5963406	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963406	N4_140_000G1
PRJNA396794	SAMN07501314	SRS2456002	SRX3121318	SRR5963407	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963407	N4_141_000G1
PRJNA396794	SAMN07501315	SRS2456003	SRX3121319	SRR5963408	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963408	N4_142_000G1
PRJNA396794	SAMN07501316	SRS2456004	SRX3121320	SRR5963409	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963409	N4_150_000G1
PRJNA396794	SAMN07501317	SRS2456005	SRX3121321	SRR5963410	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963410	N4_151_000G1
PRJNA396794	SAMN07501318	SRS2456006	SRX3121322	SRR5963411	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963411	N4_152_000G1
PRJNA396794	SAMN07501319	SRS2456009	SRX3121323	SRR5963412	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963412	N4_154_000G1
PRJNA396794	SAMN07501320	SRS2456008	SRX3121324	SRR5963413	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963413	N4_155_000G1
PRJNA396794	SAMN07501321	SRS2456007	SRX3121325	SRR5963414	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963414	N4_159_000G1
PRJNA396794	SAMN07501322	SRS2456010	SRX3121326	SRR5963415	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963415	N4_160_000G1
PRJNA396794	SAMN07501323	SRS2456011	SRX3121327	SRR5963416	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963416	N4_165_000G1
PRJNA396794	SAMN07501324	SRS2456012	SRX3121328	SRR5963417	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963417	N4_166_000G1
PRJNA396794	SAMN07501325	SRS2456013	SRX3121329	SRR5963418	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963418	N4_167_000G1
PRJNA396794	SAMN07501326	SRS2456014	SRX3121330	SRR5963419	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963419	N4_168_000G1
PRJNA396794	SAMN07501327	SRS2456015	SRX3121331	SRR5963420	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963420	N4_170_000G1
PRJNA396794	SAMN07501328	SRS2456016	SRX3121332	SRR5963421	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963421	N4_171_000G1
PRJNA396794	SAMN07501329	SRS2456017	SRX3121333	SRR5963422	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963422	N4_179_000G1
PRJNA396794	SAMN07501330	SRS2456018	SRX3121334	SRR5963423	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963423	N4_180_000G1
PRJNA396794	SAMN07501331	SRS2456019	SRX3121335	SRR5963424	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963424	N4_188_000G1
PRJNA396794	SAMN07501332	SRS2456020	SRX3121336	SRR5963425	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963425	N4_189_000G1
PRJNA396794	SAMN07501333	SRS2456023	SRX3121337	SRR5963426	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963426	N4_205_000G1
PRJNA396794	SAMN07501334	SRS2456021	SRX3121338	SRR5963427	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963427	N4_206_000G1
PRJNA396794	SAMN07501335	SRS2456022	SRX3121339	SRR5963428	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963428	N4_207_000G1
PRJNA396794	SAMN07501336	SRS2456024	SRX3121340	SRR5963429	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963429	N4_208_000G1
PRJNA396794	SAMN07501337	SRS2456025	SRX3121341	SRR5963430	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963430	N4_210_000G1
PRJNA396794	SAMN07501338	SRS2456026	SRX3121342	SRR5963431	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963431	N4_211_000G1
PRJNA396794	SAMN07501339	SRS2456027	SRX3121343	SRR5963432	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963432	N4_212_000G1
PRJNA396794	SAMN07501340	SRS2456028	SRX3121344	SRR5963433	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963433	N4_213_000G1
PRJNA396794	SAMN07501341	SRS2456029	SRX3121345	SRR5963434	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963434	N4_214_000G1
