study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_name	run_alias	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA376566	SRP102872	SAMN06444646	SRS2092544	SRX2698152	SRR5405674	human metagenome	S2_015_010G1	S2_015_010G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405674/SRR5405674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405674	S2_015_010G1	preterm infant gut metagenome S2_015_010G1
PRJNA376566	SRP102872	SAMN06444645	SRS2092545	SRX2698153	SRR5405675	human metagenome	S2_015_009G1	S2_015_009G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405675/SRR5405675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405675	S2_015_009G1	preterm infant gut metagenome S2_015_009G1
PRJNA376566	SRP102872	SAMN06444644	SRS2092547	SRX2698154	SRR5405676	human metagenome	S2_015_006G1	S2_015_006G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405676/SRR5405676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405676	S2_015_006G1	preterm infant gut metagenome S2_015_006G1
PRJNA376566	SRP102872	SAMN06444643	SRS2092546	SRX2698155	SRR5405677	human metagenome	S2_015_005G1	S2_015_005G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405677/SRR5405677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405677	S2_015_005G1	preterm infant gut metagenome S2_015_005G1
PRJNA376566	SRP102872	SAMN06444642	SRS2092548	SRX2698156	SRR5405678	human metagenome	S2_014_028G1	S2_014_028G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405678/SRR5405678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405678	S2_014_028G1	preterm infant gut metagenome S2_014_028G1
PRJNA376566	SRP102872	SAMN06444641	SRS2092549	SRX2698157	SRR5405679	human metagenome	S2_014_026G1	S2_014_026G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405679/SRR5405679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405679	S2_014_026G1	preterm infant gut metagenome S2_014_026G1
PRJNA376566	SRP102872	SAMN06444640	SRS2092551	SRX2698158	SRR5405680	human metagenome	S2_014_025G1	S2_014_025G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405680/SRR5405680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405680	S2_014_025G1	preterm infant gut metagenome S2_014_025G1
PRJNA376566	SRP102872	SAMN06444639	SRS2092550	SRX2698159	SRR5405681	human metagenome	S2_014_024G1	S2_014_024G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405681/SRR5405681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405681	S2_014_024G1	preterm infant gut metagenome S2_014_024G1
PRJNA376566	SRP102872	SAMN06444638	SRS2092554	SRX2698160	SRR5405682	human metagenome	S2_014_023G1	S2_014_023G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405682/SRR5405682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405682	S2_014_023G1	preterm infant gut metagenome S2_014_023G1
PRJNA376566	SRP102872	SAMN06444637	SRS2092553	SRX2698161	SRR5405683	human metagenome	S2_014_021G1	S2_014_021G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405683/SRR5405683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405683	S2_014_021G1	preterm infant gut metagenome S2_014_021G1
PRJNA376566	SRP102872	SAMN06444636	SRS2092552	SRX2698162	SRR5405684	human metagenome	S2_014_020G1	S2_014_020G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405684/SRR5405684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405684	S2_014_020G1	preterm infant gut metagenome S2_014_020G1
PRJNA376566	SRP102872	SAMN06444635	SRS2092556	SRX2698163	SRR5405685	human metagenome	S2_014_019G1	S2_014_019G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405685/SRR5405685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405685	S2_014_019G1	preterm infant gut metagenome S2_014_019G1
PRJNA376566	SRP102872	SAMN06444634	SRS2092555	SRX2698164	SRR5405686	human metagenome	S2_014_018G1	S2_014_018G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405686/SRR5405686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405686	S2_014_018G1	preterm infant gut metagenome S2_014_018G1
PRJNA376566	SRP102872	SAMN06444633	SRS2092557	SRX2698165	SRR5405687	human metagenome	S2_014_017G1	S2_014_017G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405687/SRR5405687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405687	S2_014_017G1	preterm infant gut metagenome S2_014_017G1
PRJNA376566	SRP102872	SAMN06444632	SRS2092559	SRX2698166	SRR5405688	human metagenome	S2_014_016G1	S2_014_016G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405688/SRR5405688.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405688	S2_014_016G1	preterm infant gut metagenome S2_014_016G1
PRJNA376566	SRP102872	SAMN06444631	SRS2092558	SRX2698167	SRR5405689	human metagenome	S2_014_015G1	S2_014_015G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405689/SRR5405689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405689	S2_014_015G1	preterm infant gut metagenome S2_014_015G1
PRJNA376566	SRP102872	SAMN06444630	SRS2092560	SRX2698168	SRR5405690	human metagenome	S2_014_013G1	S2_014_013G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405690/SRR5405690.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405690	S2_014_013G1	preterm infant gut metagenome S2_014_013G1
PRJNA376566	SRP102872	SAMN06444629	SRS2092561	SRX2698169	SRR5405691	human metagenome	S2_014_011G1	S2_014_011G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405691/SRR5405691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405691	S2_014_011G1	preterm infant gut metagenome S2_014_011G1
PRJNA376566	SRP102872	SAMN06444628	SRS2092562	SRX2698170	SRR5405692	human metagenome	S2_014_010G1	S2_014_010G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405692/SRR5405692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405692	S2_014_010G1	preterm infant gut metagenome S2_014_010G1
PRJNA376566	SRP102872	SAMN06444627	SRS2092564	SRX2698171	SRR5405693	human metagenome	S2_014_009G1	S2_014_009G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405693/SRR5405693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405693	S2_014_009G1	preterm infant gut metagenome S2_014_009G1
PRJNA376566	SRP102872	SAMN06444626	SRS2092563	SRX2698172	SRR5405694	human metagenome	S2_014_007G1	S2_014_007G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405694/SRR5405694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405694	S2_014_007G1	preterm infant gut metagenome S2_014_007G1
PRJNA376566	SRP102872	SAMN06444625	SRS2092565	SRX2698173	SRR5405695	human metagenome	S2_012_027G1	S2_012_027G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405695/SRR5405695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405695	S2_012_027G1	preterm infant gut metagenome S2_012_027G1
PRJNA376566	SRP102872	SAMN06444624	SRS2092566	SRX2698174	SRR5405696	human metagenome	S2_012_026G1	S2_012_026G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405696/SRR5405696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405696	S2_012_026G1	preterm infant gut metagenome S2_012_026G1
PRJNA376566	SRP102872	SAMN06444623	SRS2092567	SRX2698175	SRR5405697	human metagenome	S2_012_025G1	S2_012_025G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405697/SRR5405697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405697	S2_012_025G1	preterm infant gut metagenome S2_012_025G1
PRJNA376566	SRP102872	SAMN06444622	SRS2092568	SRX2698176	SRR5405698	human metagenome	S2_012_024G1	S2_012_024G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405698/SRR5405698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405698	S2_012_024G1	preterm infant gut metagenome S2_012_024G1
PRJNA376566	SRP102872	SAMN06444621	SRS2092569	SRX2698177	SRR5405699	human metagenome	S2_012_023G1	S2_012_023G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405699/SRR5405699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405699	S2_012_023G1	preterm infant gut metagenome S2_012_023G1
PRJNA376566	SRP102872	SAMN06444620	SRS2092570	SRX2698178	SRR5405700	human metagenome	S2_012_022G1	S2_012_022G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405700/SRR5405700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405700	S2_012_022G1	preterm infant gut metagenome S2_012_022G1
PRJNA376566	SRP102872	SAMN06444619	SRS2092571	SRX2698179	SRR5405701	human metagenome	S2_012_021G1	S2_012_021G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405701/SRR5405701.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405701	S2_012_021G1	preterm infant gut metagenome S2_012_021G1
PRJNA376566	SRP102872	SAMN06444618	SRS2092572	SRX2698180	SRR5405702	human metagenome	S2_012_020G1	S2_012_020G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405702/SRR5405702.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405702	S2_012_020G1	preterm infant gut metagenome S2_012_020G1
PRJNA376566	SRP102872	SAMN06444617	SRS2092573	SRX2698181	SRR5405703	human metagenome	S2_012_019G1	S2_012_019G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405703/SRR5405703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405703	S2_012_019G1	preterm infant gut metagenome S2_012_019G1
PRJNA376566	SRP102872	SAMN06444616	SRS2092574	SRX2698182	SRR5405704	human metagenome	S2_012_018G1	S2_012_018G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405704/SRR5405704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405704	S2_012_018G1	preterm infant gut metagenome S2_012_018G1
PRJNA376566	SRP102872	SAMN06444615	SRS2092576	SRX2698183	SRR5405705	human metagenome	S2_012_017G1	S2_012_017G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405705/SRR5405705.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405705	S2_012_017G1	preterm infant gut metagenome S2_012_017G1
PRJNA376566	SRP102872	SAMN06444614	SRS2092575	SRX2698184	SRR5405706	human metagenome	S2_012_016G1	S2_012_016G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405706/SRR5405706.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405706	S2_012_016G1	preterm infant gut metagenome S2_012_016G1
PRJNA376566	SRP102872	SAMN06444613	SRS2092577	SRX2698185	SRR5405707	human metagenome	S2_012_015G1	S2_012_015G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405707/SRR5405707.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405707	S2_012_015G1	preterm infant gut metagenome S2_012_015G1
PRJNA376566	SRP102872	SAMN06444612	SRS2092578	SRX2698186	SRR5405708	human metagenome	S2_012_014G1	S2_012_014G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405708/SRR5405708.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405708	S2_012_014G1	preterm infant gut metagenome S2_012_014G1
PRJNA376566	SRP102872	SAMN06444611	SRS2092579	SRX2698187	SRR5405709	human metagenome	S2_012_013G1	S2_012_013G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405709/SRR5405709.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405709	S2_012_013G1	preterm infant gut metagenome S2_012_013G1
PRJNA376566	SRP102872	SAMN06444610	SRS2092580	SRX2698188	SRR5405710	human metagenome	S2_012_012G1	S2_012_012G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405710/SRR5405710.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405710	S2_012_012G1	preterm infant gut metagenome S2_012_012G1
PRJNA376566	SRP102872	SAMN06444609	SRS2092583	SRX2698189	SRR5405711	human metagenome	S2_012_011G1	S2_012_011G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405711/SRR5405711.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405711	S2_012_011G1	preterm infant gut metagenome S2_012_011G1
PRJNA376566	SRP102872	SAMN06444608	SRS2092582	SRX2698190	SRR5405712	human metagenome	S2_012_010G1	S2_012_010G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405712/SRR5405712.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405712	S2_012_010G1	preterm infant gut metagenome S2_012_010G1
PRJNA376566	SRP102872	SAMN06444607	SRS2092581	SRX2698191	SRR5405713	human metagenome	S2_012_009G1	S2_012_009G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405713/SRR5405713.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405713	S2_012_009G1	preterm infant gut metagenome S2_012_009G1
PRJNA376566	SRP102872	SAMN06444606	SRS2092584	SRX2698192	SRR5405714	human metagenome	S2_012_008G1	S2_012_008G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405714/SRR5405714.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405714	S2_012_008G1	preterm infant gut metagenome S2_012_008G1
PRJNA376566	SRP102872	SAMN06444605	SRS2092585	SRX2698193	SRR5405715	human metagenome	S2_012_007G1	S2_012_007G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405715/SRR5405715.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405715	S2_012_007G1	preterm infant gut metagenome S2_012_007G1
PRJNA376566	SRP102872	SAMN06444604	SRS2092586	SRX2698194	SRR5405716	human metagenome	S2_012_005G1	S2_012_005G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405716/SRR5405716.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405716	S2_012_005G1	preterm infant gut metagenome S2_012_005G1
PRJNA376566	SRP102872	SAMN06444603	SRS2092587	SRX2698195	SRR5405717	human metagenome	S2_011_028G1	S2_011_028G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405717/SRR5405717.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405717	S2_011_028G1	preterm infant gut metagenome S2_011_028G1
PRJNA376566	SRP102872	SAMN06444602	SRS2092588	SRX2698196	SRR5405718	human metagenome	S2_011_026G1	S2_011_026G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405718/SRR5405718.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405718	S2_011_026G1	preterm infant gut metagenome S2_011_026G1
PRJNA376566	SRP102872	SAMN06444601	SRS2092589	SRX2698197	SRR5405719	human metagenome	S2_011_025G1	S2_011_025G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405719/SRR5405719.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405719	S2_011_025G1	preterm infant gut metagenome S2_011_025G1
PRJNA376566	SRP102872	SAMN06444600	SRS2092591	SRX2698198	SRR5405720	human metagenome	S2_011_024G1	S2_011_024G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405720/SRR5405720.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405720	S2_011_024G1	preterm infant gut metagenome S2_011_024G1
PRJNA376566	SRP102872	SAMN06444599	SRS2092590	SRX2698199	SRR5405721	human metagenome	S2_011_023G1	S2_011_023G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405721/SRR5405721.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405721	S2_011_023G1	preterm infant gut metagenome S2_011_023G1
PRJNA376566	SRP102872	SAMN06444598	SRS2092592	SRX2698200	SRR5405722	human metagenome	S2_011_022G1	S2_011_022G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405722/SRR5405722.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405722	S2_011_022G1	preterm infant gut metagenome S2_011_022G1
PRJNA376566	SRP102872	SAMN06444597	SRS2092595	SRX2698201	SRR5405723	human metagenome	S2_011_021G1	S2_011_021G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405723/SRR5405723.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405723	S2_011_021G1	preterm infant gut metagenome S2_011_021G1
PRJNA376566	SRP102872	SAMN06444596	SRS2092594	SRX2698202	SRR5405724	human metagenome	S2_011_020G1	S2_011_020G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405724/SRR5405724.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405724	S2_011_020G1	preterm infant gut metagenome S2_011_020G1
PRJNA376566	SRP102872	SAMN06444595	SRS2092593	SRX2698203	SRR5405725	human metagenome	S2_011_019G1	S2_011_019G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405725/SRR5405725.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405725	S2_011_019G1	preterm infant gut metagenome S2_011_019G1
PRJNA376566	SRP102872	SAMN06444594	SRS2092598	SRX2698204	SRR5405726	human metagenome	S2_011_018G1	S2_011_018G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405726/SRR5405726.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405726	S2_011_018G1	preterm infant gut metagenome S2_011_018G1
PRJNA376566	SRP102872	SAMN06444593	SRS2092596	SRX2698205	SRR5405727	human metagenome	S2_011_017G1	S2_011_017G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405727/SRR5405727.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405727	S2_011_017G1	preterm infant gut metagenome S2_011_017G1
PRJNA376566	SRP102872	SAMN06444592	SRS2092597	SRX2698206	SRR5405728	human metagenome	S2_011_016G1	S2_011_016G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405728/SRR5405728.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405728	S2_011_016G1	preterm infant gut metagenome S2_011_016G1
PRJNA376566	SRP102872	SAMN06444591	SRS2092599	SRX2698207	SRR5405729	human metagenome	S2_011_015G1	S2_011_015G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405729/SRR5405729.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405729	S2_011_015G1	preterm infant gut metagenome S2_011_015G1
PRJNA376566	SRP102872	SAMN06444590	SRS2092600	SRX2698208	SRR5405730	human metagenome	S2_011_014G1	S2_011_014G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405730/SRR5405730.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405730	S2_011_014G1	preterm infant gut metagenome S2_011_014G1
PRJNA376566	SRP102872	SAMN06444589	SRS2092601	SRX2698209	SRR5405731	human metagenome	S2_011_013G1	S2_011_013G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405731/SRR5405731.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405731	S2_011_013G1	preterm infant gut metagenome S2_011_013G1
PRJNA376566	SRP102872	SAMN06444588	SRS2092602	SRX2698210	SRR5405732	human metagenome	S2_011_012G1	S2_011_012G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405732/SRR5405732.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405732	S2_011_012G1	preterm infant gut metagenome S2_011_012G1
PRJNA376566	SRP102872	SAMN06444587	SRS2092603	SRX2698211	SRR5405733	human metagenome	S2_011_011G1	S2_011_011G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405733/SRR5405733.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405733	S2_011_011G1	preterm infant gut metagenome S2_011_011G1
PRJNA376566	SRP102872	SAMN06444586	SRS2092604	SRX2698212	SRR5405734	human metagenome	S2_011_010G1	S2_011_010G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405734/SRR5405734.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405734	S2_011_010G1	preterm infant gut metagenome S2_011_010G1
PRJNA376566	SRP102872	SAMN06444585	SRS2092605	SRX2698213	SRR5405735	human metagenome	S2_011_009G1	S2_011_009G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405735/SRR5405735.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405735	S2_011_009G1	preterm infant gut metagenome S2_011_009G1
PRJNA376566	SRP102872	SAMN06444584	SRS2092606	SRX2698214	SRR5405736	human metagenome	S2_011_008G1	S2_011_008G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405736/SRR5405736.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405736	S2_011_008G1	preterm infant gut metagenome S2_011_008G1
PRJNA376566	SRP102872	SAMN06444583	SRS2092608	SRX2698215	SRR5405737	human metagenome	S2_011_007G1	S2_011_007G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405737/SRR5405737.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405737	S2_011_007G1	preterm infant gut metagenome S2_011_007G1
PRJNA376566	SRP102872	SAMN06444582	SRS2092607	SRX2698216	SRR5405738	human metagenome	S2_010_030G1	S2_010_030G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405738/SRR5405738.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405738	S2_010_030G1	preterm infant gut metagenome S2_010_030G1
PRJNA376566	SRP102872	SAMN06444581	SRS2092609	SRX2698217	SRR5405739	human metagenome	S2_010_026G1	S2_010_026G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405739/SRR5405739.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405739	S2_010_026G1	preterm infant gut metagenome S2_010_026G1
PRJNA376566	SRP102872	SAMN06444580	SRS2092610	SRX2698218	SRR5405740	human metagenome	S2_010_024G1	S2_010_024G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405740/SRR5405740.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405740	S2_010_024G1	preterm infant gut metagenome S2_010_024G1
PRJNA376566	SRP102872	SAMN06444579	SRS2092611	SRX2698219	SRR5405741	human metagenome	S2_010_023G1	S2_010_023G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405741/SRR5405741.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405741	S2_010_023G1	preterm infant gut metagenome S2_010_023G1
PRJNA376566	SRP102872	SAMN06444578	SRS2092612	SRX2698220	SRR5405742	human metagenome	S2_010_022G1	S2_010_022G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405742/SRR5405742.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405742	S2_010_022G1	preterm infant gut metagenome S2_010_022G1
