study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_name	run_alias	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA376566	SRP102872	SAMN06444698	SRS2092492	SRX2698100	SRR5405622	human metagenome	S2_018_013G1	S2_018_013G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405622/SRR5405622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405622	S2_018_013G1	preterm infant gut metagenome S2_018_013G1
PRJNA376566	SRP102872	SAMN06444697	SRS2092493	SRX2698101	SRR5405623	human metagenome	S2_018_012G1	S2_018_012G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405623/SRR5405623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405623	S2_018_012G1	preterm infant gut metagenome S2_018_012G1
PRJNA376566	SRP102872	SAMN06444696	SRS2092494	SRX2698102	SRR5405624	human metagenome	S2_018_011G1	S2_018_011G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405624/SRR5405624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405624	S2_018_011G1	preterm infant gut metagenome S2_018_011G1
PRJNA376566	SRP102872	SAMN06444695	SRS2092495	SRX2698103	SRR5405625	human metagenome	S2_018_010G1	S2_018_010G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405625/SRR5405625.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405625	S2_018_010G1	preterm infant gut metagenome S2_018_010G1
PRJNA376566	SRP102872	SAMN06444694	SRS2092496	SRX2698104	SRR5405626	human metagenome	S2_018_009G1	S2_018_009G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405626/SRR5405626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405626	S2_018_009G1	preterm infant gut metagenome S2_018_009G1
PRJNA376566	SRP102872	SAMN06444693	SRS2092497	SRX2698105	SRR5405627	human metagenome	S2_018_008G1	S2_018_008G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405627/SRR5405627.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405627	S2_018_008G1	preterm infant gut metagenome S2_018_008G1
PRJNA376566	SRP102872	SAMN06444692	SRS2092498	SRX2698106	SRR5405628	human metagenome	S2_018_007G1	S2_018_007G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405628/SRR5405628.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405628	S2_018_007G1	preterm infant gut metagenome S2_018_007G1
PRJNA376566	SRP102872	SAMN06444691	SRS2092499	SRX2698107	SRR5405629	human metagenome	S2_018_006G1	S2_018_006G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405629/SRR5405629.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405629	S2_018_006G1	preterm infant gut metagenome S2_018_006G1
PRJNA376566	SRP102872	SAMN06444690	SRS2092500	SRX2698108	SRR5405630	human metagenome	S2_017_028G1	S2_017_028G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405630/SRR5405630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405630	S2_017_028G1	preterm infant gut metagenome S2_017_028G1
PRJNA376566	SRP102872	SAMN06444689	SRS2092501	SRX2698109	SRR5405631	human metagenome	S2_017_027G1	S2_017_027G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405631/SRR5405631.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405631	S2_017_027G1	preterm infant gut metagenome S2_017_027G1
PRJNA376566	SRP102872	SAMN06444688	SRS2092502	SRX2698110	SRR5405632	human metagenome	S2_017_026G1	S2_017_026G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405632/SRR5405632.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405632	S2_017_026G1	preterm infant gut metagenome S2_017_026G1
PRJNA376566	SRP102872	SAMN06444687	SRS2092503	SRX2698111	SRR5405633	human metagenome	S2_017_025G1	S2_017_025G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405633/SRR5405633.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405633	S2_017_025G1	preterm infant gut metagenome S2_017_025G1
PRJNA376566	SRP102872	SAMN06444686	SRS2092507	SRX2698112	SRR5405634	human metagenome	S2_017_024G1	S2_017_024G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405634/SRR5405634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405634	S2_017_024G1	preterm infant gut metagenome S2_017_024G1
PRJNA376566	SRP102872	SAMN06444685	SRS2092505	SRX2698113	SRR5405635	human metagenome	S2_017_023G1	S2_017_023G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405635/SRR5405635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405635	S2_017_023G1	preterm infant gut metagenome S2_017_023G1
PRJNA376566	SRP102872	SAMN06444684	SRS2092504	SRX2698114	SRR5405636	human metagenome	S2_017_022G1	S2_017_022G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405636/SRR5405636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405636	S2_017_022G1	preterm infant gut metagenome S2_017_022G1
PRJNA376566	SRP102872	SAMN06444683	SRS2092506	SRX2698115	SRR5405637	human metagenome	S2_017_021G1	S2_017_021G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405637/SRR5405637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405637	S2_017_021G1	preterm infant gut metagenome S2_017_021G1
PRJNA376566	SRP102872	SAMN06444682	SRS2092508	SRX2698116	SRR5405638	human metagenome	S2_017_020G1	S2_017_020G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405638/SRR5405638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405638	S2_017_020G1	preterm infant gut metagenome S2_017_020G1
PRJNA376566	SRP102872	SAMN06444681	SRS2092510	SRX2698117	SRR5405639	human metagenome	S2_017_019G1	S2_017_019G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405639/SRR5405639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405639	S2_017_019G1	preterm infant gut metagenome S2_017_019G1
PRJNA376566	SRP102872	SAMN06444680	SRS2092511	SRX2698118	SRR5405640	human metagenome	S2_017_018G1	S2_017_018G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405640/SRR5405640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405640	S2_017_018G1	preterm infant gut metagenome S2_017_018G1
PRJNA376566	SRP102872	SAMN06444679	SRS2092509	SRX2698119	SRR5405641	human metagenome	S2_017_017G1	S2_017_017G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405641/SRR5405641.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405641	S2_017_017G1	preterm infant gut metagenome S2_017_017G1
PRJNA376566	SRP102872	SAMN06444678	SRS2092512	SRX2698120	SRR5405642	human metagenome	S2_017_015G1	S2_017_015G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405642/SRR5405642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405642	S2_017_015G1	preterm infant gut metagenome S2_017_015G1
PRJNA376566	SRP102872	SAMN06444677	SRS2092515	SRX2698121	SRR5405643	human metagenome	S2_017_014G1	S2_017_014G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405643/SRR5405643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405643	S2_017_014G1	preterm infant gut metagenome S2_017_014G1
