public_code	infant	DOL	campaign	reads	read_bases	read_length	assembly_length	assembly_completeness
N1_019_018G1	N1_019	18	NIH1	26518038	2583426090	97.42146421	25774810	0.987470114
N1_019_019G1	N1_019	19	NIH1	31273834	3082273262	98.5575757	28205167	0.983236178
N1_019_020G1	N1_019	20	NIH1	31502660	3054543950	96.96146135	30193070	0.981964793
N1_019_021G1	N1_019	21	NIH1	36316470	3567025964	98.22061351	14349725	0.990919106
N1_019_022G1	N1_019	22	NIH1	36721978	3601155748	98.06540781	15913554	0.987510586
N1_019_023G1	N1_019	23	NIH1	31030206	3044726470	98.1213747	14821581	0.985583886
N1_019_024G1	N1_019	24	NIH1	33381482	3306130434	99.04085247	4280119	0.987076248
N1_019_026G1	N1_019	26	NIH1	37660836	3727882524	98.98565512	8482144	0.98354309
N1_019_027G1	N1_019	27	NIH1	26966432	2660298752	98.65223371	6847390	0.974937062
N1_019_031G1	N1_019	31	NIH1	44579004	4366307794	97.94538689	10861182	0.984091816
N1_019_038G1	N1_019	38	NIH1	27561966	2713023050	98.43358235	14525878	0.993382402
N1_019_049G1	N1_019	49	NIH1	29379012	2871296636	97.73292022	19786665	0.980366392
N1_019_056G1	N1_019	56	NIH1	22916114	2255917912	98.44242842	32981318	0.98678886
N1_019_057G1	N1_019	57	NIH1	27342876	2683058462	98.12641735	29938875	0.984026772
N1_021_000G1	N1_021	0	NIH1	447285192	43984963004	98.33762394	53625414	0.980000764
N1_021_012G1	N1_021	12	NIH1	29265834	2882161688	98.48213066	15276058	0.990399112
N1_021_013G1	N1_021	13	NIH1	31164886	3080425392	98.84282561	23733104	0.987475423
N1_021_015G1	N1_021	15	NIH1	31153036	3069378666	98.52582798	13394253	0.288683068
N1_021_016G1	N1_021	16	NIH1	29277510	2897561440	98.9688481	15986950	0.994650126
N1_021_017G1	N1_021	17	NIH1	25880440	2540115136	98.14806611	17571054	0.98571311
N1_021_018G1	N1_021	18	NIH1	29146446	2822938378	96.85360534	11951297	0.98326434
N1_021_019G1	N1_021	19	NIH1	32317878	3197190378	98.92946492	19008028	0.993912286
N1_021_021G1	N1_021	21	NIH1	29999300	2951708668	98.39258476	19290738	0.989961832
N1_021_022G1	N1_021	22	NIH1	25794358	2526678220	97.95468528	20608781	0.989876701
N1_021_023G1	N1_021	23	NIH1	30402766	2982866178	98.11167109	13238912	0.986777157
N1_021_024G1	N1_021	24	NIH1	36233170	3549823744	97.97165812	16589826	0.984378623
N1_021_026G1	N1_021	26	NIH1	31943150	3159320012	98.90446033	19813167	0.990977001
N1_021_027G1	N1_021	27	NIH1	28852690	2832513778	98.1715666	24247939	0.988203076
N1_021_028G1	N1_021	28	NIH1	27752310	2723395178	98.13219793	14851948	0.984965143
N1_021_030G1	N1_021	30	NIH1	28101418	2768886148	98.53190142	22466499	0.983540866
N1_023_000G1	N1_023	0	NIH1	418189536	41122337434	98.33420948	105766401	0.979473869
N1_023_007G1	N1_023	7	NIH1	16350484	1616125882	98.84269371	13963871	0.951353856
N1_023_009G1	N1_023	9	NIH1	30491048	3013885494	98.84492963	16337010	0.982767008
N1_023_013G1	N1_023	13	NIH1	31639894	3120023482	98.61042777	13396945	0.992448774
N1_023_014G1	N1_023	14	NIH1	32130468	3180305990	98.98100426	14396721	0.984613172
N1_023_015G1	N1_023	15	NIH1	33728880	3314652616	98.27342669	15416009	0.986851654
N1_023_017G1	N1_023	17	NIH1	27778282	2734164234	98.42812576	8847838	0.978557241
N1_023_018G1	N1_023	18	NIH1	18427560	1790414362	97.15960019	15085783	0.978656154
N1_023_019G1	N1_023	19	NIH1	30793716	3027261214	98.30775909	11420386	0.987111299
N1_023_020G1	N1_023	20	NIH1	30011398	2942900134	98.05941509	18885076	0.983989816
N1_023_021G1	N1_023	21	NIH1	30301870	2985127404	98.51297639	22931407	0.986410212
N1_023_029G1	N1_023	29	NIH1	31455996	3075710904	97.7782075	31826839	0.976472784
N1_023_034G1	N1_023	34	NIH1	20169700	1977701818	98.05311026	33450849	0.968280143
N1_023_042G1	N1_023	42	NIH1	34869138	3450940976	98.96834777	44029993	0.979155894
N1_023_050G1	N1_023	50	NIH1	24151960	2364175372	97.88751604	41197720	0.977191002
N1_023_055G1	N1_023	55	NIH1	25889142	2528947552	97.68371435	38551361	0.975115745
N2_031_000G1	N2_031	0	NIH2	424202560	42239478640	99.57384189	50452659	0.980662509
N2_031_008G1	N2_031	8	NIH2	45302266	4512591972	99.61073409	5435353	0.987123094
N2_031_010G1	N2_031	10	NIH2	75273020	7502830400	99.67489547	5483600	0.989696879
N2_031_012G1	N2_031	12	NIH2	19365822	1929227786	99.62023745	5390688	0.996354712
N2_031_014G1	N2_031	14	NIH2	39753382	3953953774	99.46207279	15606337	0.961964771
N2_031_016G1	N2_031	16	NIH2	29132860	2899487728	99.52636741	13617081	0.962153939
N2_031_018G1	N2_031	18	NIH2	28358444	2827333992	99.69989863	16237448	0.988117613
N2_031_020G1	N2_031	20	NIH2	37718242	3754542122	99.54181115	19793926	0.98114191
N2_031_021G1	N2_031	21	NIH2	22565080	2248917278	99.66360757	12724973	0.989491329
N2_031_023G1	N2_031	23	NIH2	26949584	2681574074	99.50335686	10641577	0.9947912
N2_031_027G1	N2_031	27	NIH2	43729364	4351930972	99.51964936	16242458	0.929921551
N2_031_033G1	N2_031	33	NIH2	26057948	2594645238	99.57212433	16058329	0.99510042
N2_031_040G1	N2_031	40	NIH2	564176	56169122	99.55957361	23922172	0.399760004
N2_031_055G1	N2_031	55	NIH2	29432372	2926274182	99.4236612	5409864	0.974997904
N2_035_000G1	N2_035	0	NIH2	470362446	46870897944	99.64846969	65914333	0.948389972
N2_035_010G1	N2_035	10	NIH2	45133088	4496161938	99.62008223	12731515	0.981205075
N2_035_012G1	N2_035	12	NIH2	51872156	5168764120	99.64428932	22406453	0.980434706
N2_035_014G1	N2_035	14	NIH2	45168132	4501787350	99.66733515	19348061	0.980345789
N2_035_016G1	N2_035	16	NIH2	53174032	5299037788	99.6546169	23892687	0.981628514
N2_035_018G1	N2_035	18	NIH2	17329826	1726222686	99.60992603	14983222	0.971991294
N2_035_020G1	N2_035	20	NIH2	26367746	2627480500	99.64752012	21626286	0.979245097
N2_035_022G1	N2_035	22	NIH2	27959096	2787882514	99.71289894	15770758	0.979802172
N2_035_025G1	N2_035	25	NIH2	62126718	6192856496	99.6810502	37737082	0.978292399
N2_035_027G1	N2_035	27	NIH2	33812554	3369907268	99.66438111	21393404	0.978829076
N2_035_032G1	N2_035	32	NIH2	29458794	2935475198	99.64682186	28337005	0.985353542
N2_035_039G1	N2_035	39	NIH2	24090066	2401029264	99.66885371	24387429	0.981508768
N2_035_046G1	N2_035	46	NIH2	20529748	2040359924	99.38553186	24005254	0.978362618
N2_035_053G1	N2_035	53	NIH2	33340490	3323932898	99.69658208	26600920	0.971741627
N2_038_000G1	N2_038	0	NIH2	448613604	44691119958	99.62051877	80049351	0.928294763
N2_038_009G1	N2_038	9	NIH2	43969550	4384882670	99.72543885	20726421	0.990026075
N2_038_011G1	N2_038	11	NIH2	44282618	4417510996	99.75722294	22896108	0.989856133
N2_038_013G1	N2_038	13	NIH2	59613310	5931052426	99.49208366	25447410	0.876101595
N2_038_015G1	N2_038	15	NIH2	34775184	3467908970	99.7236699	34097054	0.986618043
N2_038_018G1	N2_038	18	NIH2	70854888	7042153444	99.38839285	46119223	0.912771113
N2_038_020G1	N2_038	20	NIH2	43865022	4375435858	99.74771831	44442486	0.983822258
N2_038_026G1	N2_038	26	NIH2	28036312	2796345146	99.74012081	26313638	0.973387477
N2_038_030G1	N2_038	30	NIH2	28313738	2820086490	99.60134865	24948884	0.950233735
N2_038_036G1	N2_038	36	NIH2	46587702	4639151242	99.57888118	41904622	0.917071205
N2_038_039G1	N2_038	39	NIH2	20914728	2086000934	99.7383726	22410491	0.980904509
N2_038_044G1	N2_038	44	NIH2	27400552	2730591782	99.65462674	34200455	0.97998044
N2_039_000G1	N2_039	0	NIH2	390431320	38928531796	99.70647794	84968719	0.977136747
N2_039_008G1	N2_039	8	NIH2	21880338	2180678914	99.66385867	22658016	0.977518263
N2_039_011G1	N2_039	11	NIH2	18655928	1861467292	99.77886343	24278040	0.972665257
N2_039_013G1	N2_039	13	NIH2	30818678	3075190204	99.78332633	35183659	0.968944125
N2_039_015G1	N2_039	15	NIH2	49251888	4915670764	99.80674779	48319451	0.959613853
N2_039_018G1	N2_039	18	NIH2	25309800	2525443552	99.7812528	41251633	0.979522161
N2_039_020G1	N2_039	20	NIH2	38086806	3799514194	99.75932857	46775095	0.973952607
N2_039_021G1	N2_039	21	NIH2	66072428	6589377390	99.7296087	50848936	0.988594547
N2_039_035G1	N2_039	35	NIH2	77342462	7696699298	99.51453702	22515854	0.993088712
N2_039_037G1	N2_039	37	NIH2	38114270	3799885492	99.6971867	17896249	0.989762443
N2_039_044G1	N2_039	44	NIH2	24898722	2484604696	99.7884428	27866278	0.977112681
N2_060_000G1	N2_060	0	NIH2	267952326	26690908338	99.61066111	56888914	0.978344446
N2_060_008G1	N2_060	8	NIH2	30333744	3009285138	99.20585926	23160510	0.986264175
N2_060_009G1	N2_060	9	NIH2	33310446	3321336672	99.70856205	8635035	0.981465904
N2_060_011G1	N2_060	11	NIH2	35505012	3541185478	99.73762234	16920321	0.982718665
N2_060_013G1	N2_060	13	NIH2	26904330	2682987378	99.72325562	22269524	0.981795793
N2_060_015G1	N2_060	15	NIH2	18917672	1886058278	99.6982228	12691752	0.978788035
N2_060_016G1	N2_060	16	NIH2	34752354	3464760614	99.69858773	10106051	0.989531817
N2_060_019G1	N2_060	19	NIH2	37632028	3744084212	99.49195967	28701722	0.907727694
N2_060_020G1	N2_060	20	NIH2	17192568	1712846858	99.62716786	9445094	0.983943585
N2_060_021G1	N2_060	21	NIH2	33404172	3328363710	99.63916214	22186572	0.988059396
N2_061_000G1	N2_061	0	NIH2	134690836	13431978324	99.72451521	781494044	0.988059017
N2_061_007G1	N2_061	7	NIH2	41031406	4093953060	99.77608518	14881286	0.994359004
N2_061_008G1	N2_061	8	NIH2	47646848	4753759864	99.77071021	17386981	0.994757953
N2_061_015G1	N2_061	15	NIH2	15459604	1541414400	99.70594331	13171798	0.967829577
N2_061_019G1	N2_061	19	NIH2	2140846	213331868	99.64839507	9452257	0.940570223
N2_061_021G1	N2_061	21	NIH2	4854532	483414888	99.58012183	14016139	0.945591666
N2_061_025G1	N2_061	25	NIH2	10604854	1055660556	99.54503438	6942592	0.984560183
N2_061_082G1	N2_061	82	NIH2	12952746	1290443688	99.62703569	13258421	0.984249826
N2_064_000G1	N2_064	0	NIH2	388581328	38715929988	99.6340462	94119269	0.976521479
N2_064_009G1	N2_064	9	NIH2	45929896	4579531418	99.70698427	11817145	0.984814096
N2_064_011G1	N2_064	11	NIH2	50349674	5018836158	99.67961576	17020573	0.989539019
N2_064_013G1	N2_064	13	NIH2	41267430	4114683312	99.70776741	24774382	0.98472815
N2_064_016G1	N2_064	16	NIH2	40649488	4051947268	99.68015509	21417500	0.982354882
N2_064_017G1	N2_064	17	NIH2	34323674	3408240440	99.29707525	19937258	0.981599231
N2_064_020G1	N2_064	20	NIH2	31701276	3160524618	99.69707901	33273083	0.979421112
N2_064_025G1	N2_064	25	NIH2	22983536	2289918684	99.63300181	35685456	0.968608573
N2_064_027G1	N2_064	27	NIH2	23909146	2384086730	99.71442435	40995871	0.972437744
N2_064_031G1	N2_064	31	NIH2	34415274	3427518030	99.59293162	42523374	0.907135332
N2_064_036G1	N2_064	36	NIH2	28026048	2789080000	99.51742037	44573649	0.923942969
N2_064_043G1	N2_064	43	NIH2	35025886	3491563330	99.68522509	47112888	0.979566284
N2_065_000G1	N2_065	0	NIH2	540657060	53809041828	99.52527361	48174540	0.9850695
N2_065_008G1	N2_065	8	NIH2	128202158	12763990582	99.56143314	7675232	0.994536207
N2_065_009G1	N2_065	9	NIH2	32793956	3241053706	98.83082438	17634123	0.990874904
N2_065_011G1	N2_065	11	NIH2	28527124	2841432690	99.60459701	20262130	0.993230898
N2_065_014G1	N2_065	14	NIH2	45401876	4510816292	99.35308162	13006424	0.934620961
N2_065_017G1	N2_065	17	NIH2	22196904	2212166658	99.66104543	14904583	0.991688481
N2_065_019G1	N2_065	19	NIH2	36271938	3616689428	99.71039948	18097290	0.984381259
N2_065_022G1	N2_065	22	NIH2	27514842	2742669500	99.67963836	15519479	0.985341838
N2_065_024G1	N2_065	24	NIH2	30192762	2985287040	98.87426132	17270188	0.983548872
N2_065_026G1	N2_065	26	NIH2	36953658	3684897524	99.71671882	15531146	0.987291867
N2_065_029G1	N2_065	29	NIH2	11531370	1148539280	99.60128588	14152465	0.985383523
N2_065_038G1	N2_065	38	NIH2	52799952	5260704344	99.63464255	25375295	0.989616335
N2_065_046G1	N2_065	46	NIH2	22663648	2260664924	99.74850139	31346512	0.980267166
N2_065_052G1	N2_065	52	NIH2	19878624	1981784932	99.69427119	20752910	0.985843235
N2_065_059G1	N2_065	59	NIH2	45728248	4558344928	99.68334951	29117469	0.984324372
N2_066_000G1	N2_066	0	NIH2	530506170	52871600624	99.66255553	65687835	0.965074057
N2_066_009G1	N2_066	9	NIH2	31624108	3144164104	99.4230131	13010090	0.984502899
N2_066_011G1	N2_066	11	NIH2	35648128	3555275490	99.73245972	11146183	0.993622807
N2_066_013G1	N2_066	13	NIH2	32383682	3229148098	99.71528556	11358833	0.987837362
N2_066_015G1	N2_066	15	NIH2	32419348	3232563652	99.71093965	11433633	0.992401821
N2_066_017G1	N2_066	17	NIH2	27817490	2776233606	99.80172927	19941428	0.979056701
N2_066_019G1	N2_066	19	NIH2	32091626	3201886844	99.77328179	27931843	0.981720434
N2_066_021G1	N2_066	21	NIH2	48961270	4886106526	99.79533876	29298024	0.985202202
N2_066_024G1	N2_066	24	NIH2	16501280	1644097770	99.63455986	19983200	0.984969408
N2_066_031G1	N2_066	31	NIH2	48148752	4804142378	99.77709034	20215617	0.974240848
N2_066_033G1	N2_066	33	NIH2	37224898	3710843746	99.68714343	22856468	0.989069225
N2_066_037G1	N2_066	37	NIH2	38237942	3812327304	99.70011733	20645487	0.990127947
N2_066_048G1	N2_066	48	NIH2	35057810	3490038720	99.55096225	13037757	0.962809229
N2_066_050G1	N2_066	50	NIH2	28689696	2860756832	99.71373806	17833226	0.992963223
N2_066_060G1	N2_066	60	NIH2	49662402	4928569976	99.24147398	34381674	0.960172788
N2_066_064G1	N2_066	64	NIH2	36037738	3595445578	99.76890275	34753238	0.976714909
N2_069_000G1	N2_069	0	NIH2	358617280	35676980574	99.48483401	37580665	0.946810433
N2_069_014G1	N2_069	14	NIH2	57465202	5716351276	99.47500534	22719081	0.874310944
N2_069_015G1	N2_069	15	NIH2	17687846	1762200670	99.62777096	9576740	0.978958433
N2_069_017G1	N2_069	17	NIH2	27109600	2698154378	99.52763516	10265795	0.989304674
N2_069_018G1	N2_069	18	NIH2	52158088	5188334864	99.47325646	17556103	0.959419295
N2_069_019G1	N2_069	19	NIH2	33591116	3340606520	99.44910791	15569629	0.95763612
N2_069_021G1	N2_069	21	NIH2	31694220	3149647778	99.37609375	15713735	0.933303675
N2_069_024G1	N2_069	24	NIH2	42264136	4201990450	99.42213062	17460586	0.962531897
N2_069_027G1	N2_069	27	NIH2	18787852	1865032440	99.26799721	14184975	0.969637881
N2_069_028G1	N2_069	28	NIH2	45192922	4503828186	99.65782221	22653977	0.979354864
N2_069_029G1	N2_069	29	NIH2	32666298	3250834012	99.51645001	18856401	0.97210045
N2_070_000G1	N2_070	0	NIH2	341470880	33984355978	99.52343807	99906973	0.943962656
N2_070_016G1	N2_070	16	NIH2	26668468	2662277408	99.82865937	22320974	0.981054442
N2_070_019G1	N2_070	19	NIH2	33119790	3302412674	99.71115982	38765645	0.977989927
N2_070_020G1	N2_070	20	NIH2	61874232	6156132532	99.49428596	11590315	0.9462233
N2_070_024G1	N2_070	24	NIH2	45371038	4518863356	99.59797164	10104420	0.975487909
N2_070_027G1	N2_070	27	NIH2	28890456	2866043946	99.20383209	22998295	0.969324783
N2_070_030G1	N2_070	30	NIH2	16607426	1653246032	99.54860145	17524056	0.973898303
N2_070_036G1	N2_070	36	NIH2	33740654	3363686874	99.69240294	40534140	0.984204574
N2_070_042G1	N2_070	42	NIH2	48628050	4833822118	99.4039884	35142675	0.938495313
N2_070_057G1	N2_070	57	NIH2	19251006	1913314002	99.38774119	29376570	0.917541712
N2_070_060G1	N2_070	60	NIH2	27319760	2714557036	99.36240421	35833994	0.935969386
N2_071_000G1	N2_071	0	NIH2	424152258	42265043752	99.6459242	56756536	0.980181001
N2_071_007G1	N2_071	7	NIH2	31304398	3120238080	99.67411224	13806538	0.975405756
N2_071_008G1	N2_071	8	NIH2	26454676	2635207410	99.61215968	16827218	0.985156688
N2_071_010G1	N2_071	10	NIH2	25287894	2518724208	99.60197587	22067515	0.985126005
N2_071_013G1	N2_071	13	NIH2	26972694	2687235230	99.62798785	25547590	0.986562039
N2_071_015G1	N2_071	15	NIH2	33086260	3297484204	99.66325006	26204682	0.984985187
N2_071_017G1	N2_071	17	NIH2	25076586	2496627532	99.56010487	27667781	0.983591467
N2_071_019G1	N2_071	19	NIH2	28237208	2814501404	99.67350186	31941064	0.980609698
N2_071_021G1	N2_071	21	NIH2	32704052	3260715602	99.70371873	32875770	0.987025706
