study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_ftp	submitted_ftp	sample_alias
PRJNA273761	SAMN03295828	SRX858726	SRR1779123	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779123/SRR1779123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779123/SRR1779123_2.fastq.gz		NECEvent2014_4_3
PRJNA273761	SAMN03295829	SRX858727	SRR1779124	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779124/SRR1779124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779124/SRR1779124_2.fastq.gz		NECEvent2014_4_4
PRJNA273761	SAMN03295830	SRX858728	SRR1779125	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779125/SRR1779125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779125/SRR1779125_2.fastq.gz		NECEvent2014_4_5
PRJNA273761	SAMN03295831	SRX858729	SRR1779126	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779126/SRR1779126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779126/SRR1779126_2.fastq.gz		NECEvent2014_4_6
PRJNA273761	SAMN03295832	SRX858730	SRR1779127	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779127/SRR1779127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779127/SRR1779127_2.fastq.gz		NECEvent2014_4_7
PRJNA273761	SAMN03295833	SRX858731	SRR1779128	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779128/SRR1779128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779128/SRR1779128_2.fastq.gz		NECEvent2014_5_1
PRJNA273761	SAMN03295834	SRX858732	SRR1779129	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779129/SRR1779129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779129/SRR1779129_2.fastq.gz		NECEvent2014_5_2
PRJNA273761	SAMN03295835	SRX858733	SRR1779130	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779130/SRR1779130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779130/SRR1779130_2.fastq.gz		NECEvent2014_5_3
PRJNA273761	SAMN03295836	SRX858734	SRR1779131	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779131/SRR1779131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779131/SRR1779131_2.fastq.gz		NECEvent2014_5_4
PRJNA273761	SAMN03295837	SRX858735	SRR1779132	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779132/SRR1779132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779132/SRR1779132_2.fastq.gz		NECEvent2014_5_5
