study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA352475	SAMN06350127	SRX2577970	SRR5273987		3292129	587195307
PRJNA352475	SAMN06350126	SRX2577971	SRR5273988		2118733	382903964
PRJNA352475	SAMN06350125	SRX2577972	SRR5273989		9601209	1883365698
PRJNA352475	SAMN06350124	SRX2577973	SRR5273990		8603702	1694774791
PRJNA352475	SAMN06350123	SRX2577974	SRR5273991		1134651	198103328
PRJNA352475	SAMN06350122	SRX2577975	SRR5273992		4432972	808043512
PRJNA352475	SAMN06350121	SRX2577976	SRR5273993		38071666	6814188754
PRJNA352475	SAMN06350120	SRX2577977	SRR5273994		730268	132934047
PRJNA352475	SAMN06350119	SRX2577978	SRR5273995		28472590	5175007593
PRJNA352475	SAMN06350118	SRX2577979	SRR5273996		45938	8134141
PRJNA352475	SAMN06350117	SRX2577980	SRR5273997		12251949	2409780702
PRJNA352475	SAMN06350116	SRX2577981	SRR5273998		2690413	522442378
PRJNA352475	SAMN06350115	SRX2577982	SRR5273999		19021955	3726827111
PRJNA352475	SAMN06350114	SRX2577983	SRR5274000		13475684	2601324523
PRJNA352475	SAMN06350113	SRX2577984	SRR5274001		2539463	456363816
PRJNA352475	SAMN06350112	SRX2577985	SRR5274002		6517756	1251706543
PRJNA352475	SAMN06350111	SRX2577986	SRR5274003		17843454	3306778298
PRJNA352475	SAMN06350110	SRX2577987	SRR5274004		27092292	4984420425
PRJNA352475	SAMN06350109	SRX2577988	SRR5274005		226895	40489703
PRJNA352475	SAMN06350108	SRX2577989	SRR5274006		29235090	5763542186
PRJNA352475	SAMN06350107	SRX2577990	SRR5274007		16617187	3277051246
PRJNA352475	SAMN06350106	SRX2577991	SRR5274008		550757	95637208
PRJNA352475	SAMN06350105	SRX2577992	SRR5274009		7364674	1308370704
PRJNA352475	SAMN06350104	SRX2577993	SRR5274010		8480065	1446882784
PRJNA352475	SAMN06350103	SRX2577994	SRR5274011		8440472	1504687383
PRJNA352475	SAMN06350102	SRX2577995	SRR5274012		3720524	575058158
PRJNA352475	SAMN06350101	SRX2577996	SRR5274013		8019219	1431053992
PRJNA352475	SAMN06350100	SRX2577997	SRR5274014		7002577	1346964610
PRJNA352475	SAMN06350099	SRX2577998	SRR5274015		1981281	386543629
PRJNA352475	SAMN06350098	SRX2577999	SRR5274016		10703705	1681281095
PRJNA352475	SAMN06350097	SRX2578000	SRR5274017		22264321	3895679756
PRJNA352475	SAMN06350096	SRX2578001	SRR5274018		37827276	5989998237
PRJNA352475	SAMN06350095	SRX2578002	SRR5274019		24378118	3610805001
PRJNA352475	SAMN06350094	SRX2578003	SRR5274020		3270443	551694504
PRJNA352475	SAMN06350093	SRX2578004	SRR5274021		16612800	2843290292
PRJNA352475	SAMN06350092	SRX2578005	SRR5274022		36825639	5964572322
PRJNA352475	SAMN06350091	SRX2578006	SRR5274023		11320273	1985620810
PRJNA352475	SAMN06350090	SRX2578007	SRR5274024		5903983	1003301992
PRJNA352475	SAMN06350089	SRX2578008	SRR5274025		2435062	395817211
PRJNA352475	SAMN06350088	SRX2578009	SRR5274026		14985761	2702331606
PRJNA352475	SAMN06350087	SRX2578010	SRR5274027		453765	67047249
PRJNA352475	SAMN06350086	SRX2578011	SRR5274028		4568789	694702576
PRJNA352475	SAMN06350085	SRX2578012	SRR5274029		7385857	1108720097
PRJNA352475	SAMN06350084	SRX2578013	SRR5274030		1099595	165897168
PRJNA352475	SAMN06350083	SRX2578014	SRR5274031		501974	71724864
PRJNA352475	SAMN06350082	SRX2578015	SRR5274032		19449995	3093194128
PRJNA352475	SAMN06350081	SRX2578016	SRR5274033		14404323	2317325235
PRJNA352475	SAMN06350080	SRX2578017	SRR5274034		12958853	2555666626
PRJNA352475	SAMN06350079	SRX2578018	SRR5274035		26851940	5138221773
PRJNA352475	SAMN06350078	SRX2578019	SRR5274036		16495527	2640442310
PRJNA352475	SAMN06350077	SRX2578020	SRR5274037		8114096	1352196712
PRJNA352475	SAMN06350076	SRX2578021	SRR5274038		223390901	35811761752
PRJNA352475	SAMN06350075	SRX2578022	SRR5274039		309084	32224798
PRJNA352475	SAMN06350074	SRX2578023	SRR5274040		176431	17309182
PRJNA352475	SAMN06350073	SRX2578024	SRR5274041		449415	79760484
PRJNA352475	SAMN06350072	SRX2578025	SRR5274042		4840642	900038798
PRJNA352475	SAMN06350071	SRX2578026	SRR5274043		11756197	2314642029
PRJNA352475	SAMN06350070	SRX2578027	SRR5274044		2739215	473187952
PRJNA352475	SAMN06350069	SRX2578028	SRR5274045		5489194	1007072516
PRJNA352475	SAMN06350068	SRX2578029	SRR5274046		7358317	1289352644
PRJNA352475	SAMN06350067	SRX2578030	SRR5274047		133911	21117468
PRJNA352475	SAMN06350066	SRX2578031	SRR5274048		6975550	1215860358
PRJNA352475	SAMN06350065	SRX2578032	SRR5274049		12739100	2504482248
PRJNA352475	SAMN06350064	SRX2578033	SRR5274050		41874351	7509123613
PRJNA352475	SAMN06350063	SRX2578034	SRR5274051		18276613	3246399544
PRJNA352475	SAMN06350062	SRX2578035	SRR5274052		4974161	912654640
PRJNA352475	SAMN06350061	SRX2578036	SRR5274053		16034798	2885855755
PRJNA352475	SAMN06350060	SRX2578037	SRR5274054		37816820	6813394920
PRJNA352475	SAMN06350059	SRX2578038	SRR5274055		185028	26117787
PRJNA352475	SAMN06350058	SRX2578039	SRR5274056		914797	167386526
PRJNA352475	SAMN06350057	SRX2578040	SRR5274057		14975358	2839604520
PRJNA352475	SAMN06350056	SRX2578041	SRR5274058		22008614	3948363413
PRJNA352475	SAMN06350055	SRX2578042	SRR5274059		13298359	2624028706
PRJNA352475	SAMN06350054	SRX2578043	SRR5274060		23019072	4175194730
PRJNA352475	SAMN06350053	SRX2578044	SRR5274061		32048212	4667483290
PRJNA352475	SAMN06350052	SRX2578045	SRR5274062		2284802	408319676
PRJNA352475	SAMN06350051	SRX2578046	SRR5274063		21188791	3220589585
PRJNA352475	SAMN06350050	SRX2578047	SRR5274064		1909407	274131583
PRJNA352475	SAMN06350049	SRX2578048	SRR5274065		21370939	3460226111
PRJNA352475	SAMN06350048	SRX2578049	SRR5274066		4891608	751661544
PRJNA352475	SAMN06350047	SRX2578050	SRR5274067		23301516	4119759398
PRJNA352475	SAMN06350046	SRX2578051	SRR5274068		23851407	4676422279
PRJNA352475	SAMN06350045	SRX2578052	SRR5274069		25313522	3974006905
PRJNA352475	SAMN06350044	SRX2578053	SRR5274070		19280979	3143189868
PRJNA352475	SAMN06350043	SRX2578054	SRR5274071		2740147	447078907
PRJNA352475	SAMN06350042	SRX2578055	SRR5274072		16564250	2441064339
PRJNA352475	SAMN06350041	SRX2578056	SRR5274073		14449586	2334519290
PRJNA352475	SAMN06350040	SRX2578057	SRR5274074		23456431	3787442524
PRJNA352475	SAMN06350039	SRX2578058	SRR5274075		5801320	1106358493
PRJNA352475	SAMN06350038	SRX2578059	SRR5274076		41631268	8201560682
PRJNA352475	SAMN06350037	SRX2578060	SRR5274077		11906040	2272174916
PRJNA352475	SAMN06350036	SRX2578061	SRR5274078		708940	129145557
PRJNA352475	SAMN06350035	SRX2578062	SRR5274079		14345191	2688708866
PRJNA352475	SAMN06350034	SRX2578063	SRR5274080		220379	35216354
PRJNA352475	SAMN06350033	SRX2578064	SRR5274081		36207608	7100655558
PRJNA352475	SAMN06350032	SRX2578065	SRR5274082		40308342	7858824762
PRJNA352475	SAMN06350031	SRX2578066	SRR5274083		7858937	1506199715
PRJNA352475	SAMN06350030	SRX2578067	SRR5274084		14047728	2638066740
PRJNA352475	SAMN06350029	SRX2578068	SRR5274085		27281776	5174403585
PRJNA352475	SAMN06350028	SRX2578069	SRR5274086		21988624	4188271273
PRJNA352475	SAMN06350027	SRX2578070	SRR5274087		12208653	2326365677
PRJNA352475	SAMN06350026	SRX2578071	SRR5274088		2323146	442078277
PRJNA352475	SAMN06350025	SRX2578072	SRR5274089		25293133	4864662260
PRJNA352475	SAMN06350024	SRX2578073	SRR5274090		52794	7502407
PRJNA352475	SAMN06350023	SRX2578074	SRR5274091		12971543	2477845302
PRJNA352475	SAMN06350022	SRX2578075	SRR5274092		5147214	975036307
PRJNA352475	SAMN06350021	SRX2578076	SRR5274093		108012	13953244
