study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA422434	SAMN00715221	SRX095752	SRR341671	329	16627572	2992962960
PRJNA422434	SAMN00715222	SRX095753	SRR341672	323	17076365	3073745700
PRJNA422434	SAMN00715223	SRX095754	SRR341673	333	17719077	3189433860
PRJNA422434	SAMN00715224	SRX095755	SRR341674	325	16173650	2911257000
PRJNA422434	SAMN00715225	SRX095756	SRR341675	341	16885018	3039303240
PRJNA422434	SAMN00715226	SRX095757	SRR341676	323	16596926	2987446680
PRJNA422434	SAMN00715227	SRX095758	SRR341677	325	18435652	3318417360
PRJNA422434	SAMN00715228	SRX095759	SRR341678	333	14549833	2618969940
PRJNA422434	SAMN00715229	SRX095760	SRR341679	337	14520597	2613707460
PRJNA422434	SAMN00715230	SRX095761	SRR341680	349	15896399	2861351820
PRJNA422434	SAMN00715231	SRX095762	SRR341681	319	14244738	2564052840
PRJNA422434	SAMN00715232	SRX095763	SRR341682	319	19290685	3472323300
PRJNA422434	SAMN00715233	SRX095764	SRR341683	331	21015385	3782769300
PRJNA422434	SAMN00715234	SRX095765	SRR341684	319	14296267	2573328060
PRJNA422434	SAMN00715235	SRX095766	SRR341685	319	16491181	2968412580
PRJNA422434	SAMN00715236	SRX095767	SRR341686	333	15802476	2844445680
PRJNA422434	SAMN00715237	SRX095768	SRR341687	343	17097749	3077594820
PRJNA422434	SAMN00715238	SRX095769	SRR341688	341	18444482	3320006760
PRJNA422434	SAMN00715239	SRX095770	SRR341689	331	17810090	3205816200
PRJNA422434	SAMN00715240	SRX095771	SRR341690	335	16625807	2992645260
PRJNA422434	SAMN00715241	SRX095772	SRR341691	343	14971272	2694828960
PRJNA422434	SAMN00715242	SRX095773	SRR341692	345	15376462	2767763160
PRJNA422434	SAMN00715243	SRX095774	SRR341693	327	16860428	3034877040
PRJNA422434	SAMN00715244	SRX095775	SRR341694	343	18955398	3411971640
PRJNA422434	SAMN00715245	SRX095776	SRR341695	321	18507963	3331433340
PRJNA422434	SAMN00715246	SRX095777	SRR341696	333	19126377	3442747860
PRJNA422434	SAMN00715247	SRX095778	SRR341697	337	16017077	2883073860
PRJNA422434	SAMN00715248	SRX095779	SRR341698	323	17258016	3106442880
PRJNA422434	SAMN00715249	SRX095780	SRR341699	333	18117840	3261211200
PRJNA422434	SAMN00715250	SRX095781	SRR341700	335	14623830	2632289400
PRJNA422434	SAMN00715251	SRX095782	SRR341701	331	15873863	2857295340
PRJNA422434	SAMN00715252	SRX095783	SRR341702	331	17456205	3142116900
PRJNA422434	SAMN00715253	SRX095784	SRR341703	331	17702323	3186418140
PRJNA422434	SAMN00715254	SRX095785	SRR341704	319	17284789	3111262020
PRJNA422434	SAMN00715255	SRX095786	SRR341705	331	17078588	3074145840
PRJNA422434	SAMN00715256	SRX095787	SRR341706	333	16040688	2887323840
PRJNA422434	SAMN00715257	SRX095788	SRR341707	323	18907487	3403347660
PRJNA422434	SAMN00715258	SRX095789	SRR341708	325	17565580	3161804400
PRJNA422434	SAMN00715259	SRX095790	SRR341709	328	17043908	3067903440
PRJNA422434	SAMN00715260	SRX095791	SRR341710	345	16529490	2975308200
PRJNA422434	SAMN00715261	SRX095792	SRR341711	327	15744451	2834001180
PRJNA422434	SAMN00715262	SRX095793	SRR341712	327	14770126	2658622680
PRJNA422434	SAMN00715263	SRX095794	SRR341713	327	18389317	3310077060
PRJNA422434	SAMN00715264	SRX095795	SRR341714	331	13475238	2425542840
PRJNA422434	SAMN00715265	SRX095796	SRR341715	337	16247605	2924568900
