study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2579991	ERX491009	ERR525774	345	17934282	3569104100
PRJEB6456	SAMEA2579992	ERX491010	ERR525775	338	24004304	4782894630
PRJEB6456	SAMEA2579993	ERX491011	ERR525776	346	9621683	1918848440
PRJEB6456	SAMEA2579994	ERX491012	ERR525777	319	13406907	2665426950
PRJEB6456	SAMEA2579995	ERX491013	ERR525778	336	16069845	3205360030
PRJEB6456	SAMEA2579996	ERX491014	ERR525779	332	14323279	2851671170
PRJEB6456	SAMEA2579997	ERX491015	ERR525780	332	10730252	2137777800
PRJEB6456	SAMEA2579998	ERX491016	ERR525781	338	13536604	2696838710
PRJEB6456	SAMEA2579999	ERX491017	ERR525782	336	9095467	1809957640
PRJEB6456	SAMEA2580000	ERX491018	ERR525783	326	9418395	1877484590
PRJEB6456	SAMEA2580001	ERX491019	ERR525784	330	21892018	4364338200
PRJEB6456	SAMEA2580002	ERX491020	ERR525785	331	20037306	3990186300
PRJEB6456	SAMEA2580003	ERX491021	ERR525786	328	16180076	3222706070
PRJEB6456	SAMEA2580004	ERX491022	ERR525787	332	18495980	3683749420
PRJEB6456	SAMEA2580005	ERX491023	ERR525788	332	19904988	3966007860
PRJEB6456	SAMEA2580006	ERX491024	ERR525789	324	15286197	3036338610
PRJEB6456	SAMEA2580007	ERX491025	ERR525790	335	16496799	3285253130
PRJEB6456	SAMEA2580008	ERX491026	ERR525791	325	23094576	4602158640
PRJEB6456	SAMEA2580009	ERX491027	ERR525792	341	18311934	3646016140
PRJEB6456	SAMEA2580010	ERX491028	ERR525793	338	17447064	3461153180
PRJEB6456	SAMEA2580011	ERX491029	ERR525794	337	14885600	2956702040
PRJEB6456	SAMEA2580012	ERX491030	ERR525795	344	24121183	4806449440
PRJEB6456	SAMEA2580013	ERX491031	ERR525796	334	22290406	4445066170
PRJEB6456	SAMEA2580014	ERX491032	ERR525797	329	20206962	4027163210
PRJEB6456	SAMEA2580015	ERX491033	ERR525798	335	14850752	2954070890
PRJEB6456	SAMEA2580016	ERX491034	ERR525799	343	15044546	2993323450
PRJEB6456	SAMEA2580017	ERX491035	ERR525800	341	22590717	4505622600
PRJEB6456	SAMEA2580018	ERX491036	ERR525801	336	21713908	4327508260
PRJEB6456	SAMEA2580019	ERX491037	ERR525802	333	20888086	4155515850
PRJEB6456	SAMEA2580020	ERX491038	ERR525803	341	16862409	3358982300
PRJEB6456	SAMEA2580021	ERX491039	ERR525804	347	25447492	5081084010
PRJEB6456	SAMEA2580022	ERX491040	ERR525805	344	16570431	3289254730
PRJEB6456	SAMEA2580023	ERX491041	ERR525806	330	15928516	3175291460
PRJEB6456	SAMEA2580024	ERX491042	ERR525807	337	19100167	3785922100
