study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5617529	ERX3428438	ERR3404786	500	10567860	2601086270
PRJEB32631	SAMEA5617530	ERX3428439	ERR3404787	500	10314947	2539534077
PRJEB32631	SAMEA5617531	ERX3428440	ERR3404788	500	9297530	2280811848
PRJEB32631	SAMEA5617532	ERX3428441	ERR3404789	500	11018049	2706346352
PRJEB32631	SAMEA5617533	ERX3428442	ERR3404790	500	7904056	1940988151
PRJEB32631	SAMEA5617534	ERX3428443	ERR3404791	500	10478034	2572804368
PRJEB32631	SAMEA5616665	ERX3428444	ERR3404792	500	10018246	2461104301
PRJEB32631	SAMEA5616666	ERX3428445	ERR3404793	500	10129166	2488346084
PRJEB32631	SAMEA5616667	ERX3428446	ERR3404794	500	8289151	2025337969
PRJEB32631	SAMEA5616668	ERX3428447	ERR3404795	500	10818815	2664844627
PRJEB32631	SAMEA5616669	ERX3428448	ERR3404796	500	8090263	1978549673
PRJEB32631	SAMEA5617535	ERX3428449	ERR3404797	500	11362133	2787746571
PRJEB32631	SAMEA5617536	ERX3428450	ERR3404798	500	9422184	2307597344
PRJEB32631	SAMEA5617537	ERX3428451	ERR3404799	500	9741707	2386191364
PRJEB32631	SAMEA5617538	ERX3428452	ERR3404800	500	8311043	2034443538
PRJEB32631	SAMEA5617539	ERX3428453	ERR3404801	500	7575988	1857200628
PRJEB32631	SAMEA5617540	ERX3428454	ERR3404802	500	8541841	2095814705
PRJEB32631	SAMEA5616638	ERX3428455	ERR3404803	500	7865729	1926514144
PRJEB32631	SAMEA5616639	ERX3428456	ERR3404804	500	7559720	1847791354
PRJEB32631	SAMEA5617002	ERX3428457	ERR3404805	500	10596736	2598401811
PRJEB32631	SAMEA5617003	ERX3428458	ERR3404806	500	10524579	2581667873
PRJEB32631	SAMEA5617004	ERX3428459	ERR3404807	500	11080695	2714967025
PRJEB32631	SAMEA5617541	ERX3428460	ERR3404808	500	14281337	3512164382
PRJEB32631	SAMEA5617542	ERX3428461	ERR3404809	500	12315429	3025534416
PRJEB32631	SAMEA5617543	ERX3428462	ERR3404810	500	10339588	2532849676
PRJEB32631	SAMEA5617546	ERX3428463	ERR3404811	500	10235437	2503892185
PRJEB32631	SAMEA5617547	ERX3428464	ERR3404812	500	10556637	2589685130
PRJEB32631	SAMEA5617548	ERX3428465	ERR3404813	500	8372984	2048490431
PRJEB32631	SAMEA5616670	ERX3428466	ERR3404814	500	8123451	1989776377
PRJEB32631	SAMEA5616671	ERX3428467	ERR3404815	500	9200253	2254355002
PRJEB32631	SAMEA5617549	ERX3428468	ERR3404816	500	10040729	2464689995
PRJEB32631	SAMEA5617550	ERX3428469	ERR3404817	500	8611328	2111680408
PRJEB32631	SAMEA5617551	ERX3428470	ERR3404818	500	8821600	2162477342
PRJEB32631	SAMEA5617552	ERX3428471	ERR3404819	500	10656257	2618253089
PRJEB32631	SAMEA5617553	ERX3428472	ERR3404820	500	8345030	2042968472
PRJEB32631	SAMEA5617554	ERX3428473	ERR3404821	500	8256807	2020958729
PRJEB32631	SAMEA5617555	ERX3428474	ERR3404822	500	9288837	2280848793
PRJEB32631	SAMEA5617556	ERX3428475	ERR3404823	500	8939800	2194325308
PRJEB32631	SAMEA5617557	ERX3428476	ERR3404824	500	8985716	2203814313
PRJEB32631	SAMEA5617558	ERX3428477	ERR3404825	500	8652012	2124338636
PRJEB32631	SAMEA5617559	ERX3428478	ERR3404826	500	9591437	2354896687
PRJEB32631	SAMEA5617560	ERX3428479	ERR3404827	500	8464988	2071307787
PRJEB32631	SAMEA5617561	ERX3428480	ERR3404828	500	12262488	3017577795
PRJEB32631	SAMEA5617562	ERX3428481	ERR3404829	500	9404796	2303407104
PRJEB32631	SAMEA5617563	ERX3428482	ERR3404830	500	10069794	2472538310
PRJEB32631	SAMEA5617564	ERX3428483	ERR3404831	500	9111745	2235326717
PRJEB32631	SAMEA5617565	ERX3428484	ERR3404832	500	12138865	2986762871
PRJEB32631	SAMEA5617568	ERX3428485	ERR3404833	500	8793936	2153638605
PRJEB32631	SAMEA5617569	ERX3428486	ERR3404834	500	10367401	2541696108
PRJEB32631	SAMEA5617570	ERX3428487	ERR3404835	500	10279488	2521512761
PRJEB32631	SAMEA5617572	ERX3428488	ERR3404836	500	10459025	2560653868
PRJEB32631	SAMEA5617573	ERX3428489	ERR3404837	500	8822479	2157432268
PRJEB32631	SAMEA5617571	ERX3428490	ERR3404838	500	9564250	2343862776
PRJEB32631	SAMEA5617576	ERX3428491	ERR3404839	500	10065624	2470148111
PRJEB32631	SAMEA5617577	ERX3428492	ERR3404840	500	10305123	2529917480
PRJEB32631	SAMEA5617578	ERX3428493	ERR3404841	500	10019433	2455054444
PRJEB32631	SAMEA5617579	ERX3428494	ERR3404842	500	11632412	2854067780
PRJEB32631	SAMEA5617580	ERX3428495	ERR3404843	500	8391096	2053623916
PRJEB32631	SAMEA5617581	ERX3428496	ERR3404844	500	8444280	2066338688
PRJEB32631	SAMEA5617582	ERX3428497	ERR3404845	500	11920551	2927917758
PRJEB32631	SAMEA5617583	ERX3428498	ERR3404846	500	10033977	2457884631
PRJEB32631	SAMEA5617584	ERX3428499	ERR3404847	500	10758489	2639786281
PRJEB32631	SAMEA5617585	ERX3428500	ERR3404848	500	9675677	2374192535
PRJEB32631	SAMEA5617586	ERX3428501	ERR3404849	500	9894895	2425596272
PRJEB32631	SAMEA5616672	ERX3428502	ERR3404850	500	11035677	2711548781
PRJEB32631	SAMEA5616673	ERX3428503	ERR3404851	500	9524667	2337644758
PRJEB32631	SAMEA5617593	ERX3428504	ERR3404852	500	9251342	2264735625
PRJEB32631	SAMEA5617594	ERX3428505	ERR3404853	500	8625236	2113018560
PRJEB32631	SAMEA5617595	ERX3428506	ERR3404854	500	8142658	1989445059
PRJEB32631	SAMEA5616677	ERX3428507	ERR3404855	500	10595244	2595289943
PRJEB32631	SAMEA5616678	ERX3428508	ERR3404856	500	7998653	1957865450
PRJEB32631	SAMEA5617606	ERX3428509	ERR3404857	500	8761894	2142486118
PRJEB32631	SAMEA5617607	ERX3428510	ERR3404858	500	8457041	2071201500
PRJEB32631	SAMEA5617608	ERX3428511	ERR3404859	500	8842886	2162946298
PRJEB32631	SAMEA5617613	ERX3428512	ERR3404860	500	9789331	2396427953
PRJEB32631	SAMEA5617614	ERX3428513	ERR3404861	500	11957632	2929501763
PRJEB32631	SAMEA5617612	ERX3428514	ERR3404862	500	10981573	2689635626
PRJEB32631	SAMEA5617615	ERX3428515	ERR3404863	500	12731474	3131493144
PRJEB32631	SAMEA5617616	ERX3428516	ERR3404864	500	11008047	2701616919
PRJEB32631	SAMEA5617617	ERX3428517	ERR3404865	500	10760338	2634685277
PRJEB32631	SAMEA5617618	ERX3428518	ERR3404866	500	7796529	1898117441
PRJEB32631	SAMEA5617619	ERX3428519	ERR3404867	500	8098519	1980405879
PRJEB32631	SAMEA5617620	ERX3428520	ERR3404868	500	7695684	1879014179
PRJEB32631	SAMEA5616674	ERX3428521	ERR3404869	500	11097301	2719913523
PRJEB32631	SAMEA5616675	ERX3428522	ERR3404870	500	10959045	2682187596
PRJEB32631	SAMEA5616676	ERX3428523	ERR3404871	500	11266303	2756642130
PRJEB32631	SAMEA5617589	ERX3428524	ERR3404872	500	11087379	2713706052
PRJEB32631	SAMEA5617590	ERX3428525	ERR3404873	500	11158863	2731162440
PRJEB32631	SAMEA5617596	ERX3428526	ERR3404874	500	12951169	3169274437
PRJEB32631	SAMEA5617597	ERX3428527	ERR3404875	500	9857843	2409939454
PRJEB32631	SAMEA5617598	ERX3428528	ERR3404876	500	11178124	2744285520
PRJEB32631	SAMEA5617599	ERX3428529	ERR3404877	500	10801629	2646360396
PRJEB32631	SAMEA5617600	ERX3428530	ERR3404878	500	8773147	2146117118
PRJEB32631	SAMEA5617601	ERX3428531	ERR3404879	500	10757676	2640987256
